Percentile	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
wholeblood_11B	5242.0	11125.0	24450.0	42959.0	60803.0	81013.0	100435.0	116595.0	135047.0	148912.0	166487.0	174300.0	196061.0	209468.0	223224.0	235452.0	248377.0	264028.0	275740.0	288738.0	302982.0	315880.0	328996.0	342050.0	354025.0	365913.0	379262.0	389602.0	400281.0	409196.0	420099.0	431199.0	440163.0	450233.0	462024.0	471814.0	477232.0	491269.0	499422.0	510569.0	521881.0	524517.0	533206.0	545303.0	555283.0	561257.0	570125.0	576884.0	581589.0	597322.0	608954.0	612507.0	627277.0	643539.0	653255.0	662158.0	675894.0	682315.0	693774.0	704584.0	720713.0	728479.0	749300.0	756545.0	773270.0	788260.0	796905.0	804313.0	824762.0	836959.0	852817.0	860460.0	874716.0	885979.0	899955.0	909245.0	915774.0	928596.0	938862.0	948342.0	961313.0	965073.0	961983.0	969303.0	968739.0	977956.0	969353.0	964120.0	942289.0	924146.0	896888.0	855948.0	802164.0	741128.0	663317.0	567450.0	453835.0	328595.0	193906.0	81418.0
wholeblood_12B	10570.0	22711.0	44123.0	72846.0	98511.0	125865.0	149554.0	169733.0	191467.0	207947.0	226268.0	235672.0	255787.0	268259.0	281115.0	291279.0	304388.0	319426.0	331348.0	343855.0	356788.0	368058.0	378285.0	388778.0	397853.0	407734.0	419390.0	426852.0	435236.0	440392.0	448565.0	457293.0	464206.0	471730.0	480872.0	488284.0	493376.0	504336.0	509655.0	516463.0	525278.0	521182.0	528607.0	538635.0	545202.0	548428.0	552157.0	555083.0	557210.0	570470.0	578501.0	577554.0	588526.0	600437.0	605998.0	610966.0	620223.0	623298.0	631729.0	633553.0	647473.0	650015.0	666443.0	671517.0	683204.0	693398.0	695968.0	700050.0	713818.0	719517.0	728641.0	732094.0	739506.0	744851.0	752116.0	755448.0	757775.0	761074.0	764689.0	768554.0	775841.0	775154.0	767336.0	771699.0	767341.0	773066.0	763243.0	761089.0	744344.0	728604.0	705299.0	672333.0	631977.0	587363.0	532370.0	461671.0	374455.0	278528.0	171288.0	74248.0
wholeblood_13B	13451.0	30482.0	60003.0	96164.0	128195.0	162328.0	191705.0	215698.0	242180.0	260999.0	283601.0	293611.0	317055.0	331474.0	345901.0	358520.0	373568.0	391216.0	404798.0	416267.0	430014.0	441567.0	452215.0	462347.0	471337.0	481244.0	492516.0	502015.0	510406.0	515836.0	523804.0	531179.0	536827.0	544295.0	552627.0	557298.0	560210.0	569669.0	573740.0	577985.0	585909.0	581443.0	590780.0	598186.0	601691.0	603842.0	606038.0	609756.0	609064.0	618401.0	626467.0	625463.0	634057.0	644310.0	648698.0	650764.0	657529.0	659600.0	665993.0	666093.0	678996.0	680554.0	694690.0	695371.0	704867.0	712735.0	713858.0	714736.0	726595.0	730166.0	735507.0	735759.0	741781.0	743423.0	747067.0	745705.0	743993.0	745330.0	744138.0	743942.0	746884.0	743511.0	734179.0	733556.0	725876.0	728517.0	716689.0	711156.0	690606.0	674427.0	650373.0	616709.0	575702.0	530944.0	475518.0	408618.0	330764.0	242137.0	147252.0	64169.0
wholeblood_14B	17544.0	40434.0	77870.0	120670.0	160197.0	199882.0	235405.0	263510.0	294449.0	316605.0	342562.0	355632.0	378825.0	394334.0	410259.0	424197.0	439421.0	456456.0	470620.0	481965.0	495961.0	506364.0	515963.0	526364.0	535745.0	544245.0	554357.0	561283.0	570576.0	574126.0	582491.0	589936.0	595156.0	601299.0	609640.0	614638.0	616815.0	623691.0	627673.0	632556.0	639693.0	633315.0	639763.0	647785.0	651833.0	652942.0	653650.0	655039.0	654326.0	665220.0	671109.0	670454.0	678845.0	688678.0	691954.0	694131.0	699588.0	701072.0	704211.0	704333.0	714089.0	713742.0	725616.0	725215.0	734617.0	740402.0	740700.0	740508.0	749870.0	751619.0	755737.0	753470.0	756673.0	756454.0	757135.0	754680.0	752536.0	750108.0	747029.0	745084.0	745464.0	737608.0	727401.0	721575.0	710087.0	708800.0	691395.0	681261.0	657779.0	637468.0	609989.0	574827.0	531721.0	486675.0	433756.0	369687.0	297216.0	218578.0	134058.0	61783.0
wholeblood_15B	18614.0	43831.0	83024.0	125985.0	165441.0	204256.0	241134.0	269697.0	297379.0	318353.0	343231.0	358915.0	377298.0	389757.0	405697.0	417566.0	431958.0	445399.0	458010.0	471176.0	482059.0	491370.0	498661.0	508371.0	516112.0	523906.0	532557.0	539314.0	548338.0	550710.0	558365.0	563608.0	569841.0	574267.0	581698.0	588872.0	588371.0	594979.0	596173.0	600093.0	602950.0	599635.0	602643.0	608892.0	611880.0	615461.0	616600.0	616446.0	616143.0	622591.0	623051.0	619346.0	626260.0	633835.0	636861.0	633708.0	634936.0	633210.0	635711.0	634998.0	640809.0	640381.0	648601.0	643697.0	646823.0	649339.0	647384.0	646126.0	651043.0	650301.0	654738.0	650338.0	651781.0	650657.0	649087.0	645586.0	637874.0	630684.0	624939.0	618163.0	615273.0	609510.0	594584.0	586230.0	574851.0	568037.0	553149.0	542170.0	521268.0	501433.0	476740.0	445341.0	410846.0	372842.0	329719.0	278035.0	221762.0	163076.0	100647.0	48294.0
wholeblood_16B	12874.0	28896.0	55255.0	87699.0	117117.0	146802.0	173484.0	195820.0	220253.0	237402.0	258020.0	267160.0	287556.0	300387.0	313189.0	324460.0	337620.0	351992.0	363318.0	373725.0	385014.0	395402.0	404363.0	414401.0	422628.0	432738.0	442204.0	451155.0	458266.0	462645.0	469862.0	476076.0	480810.0	487253.0	494581.0	500222.0	503807.0	512364.0	517430.0	523112.0	530758.0	526598.0	535912.0	543103.0	548385.0	550028.0	552979.0	555631.0	554915.0	565050.0	571534.0	570120.0	576778.0	585703.0	590246.0	592719.0	600079.0	600454.0	608133.0	606838.0	619994.0	621888.0	635896.0	637164.0	645116.0	652956.0	654897.0	656637.0	667548.0	671012.0	677053.0	678221.0	684521.0	686710.0	690707.0	689510.0	689792.0	690898.0	688744.0	688396.0	691593.0	688638.0	679957.0	681804.0	673251.0	679370.0	667869.0	663938.0	648654.0	633391.0	610665.0	579977.0	541888.0	501099.0	450963.0	386001.0	311400.0	230081.0	140991.0	62645.0
wholeblood_17B	22458.0	53102.0	102161.0	156219.0	203788.0	250080.0	290932.0	323645.0	360374.0	385918.0	415580.0	430810.0	457570.0	473194.0	490871.0	507777.0	521119.0	541182.0	554895.0	566814.0	581023.0	590942.0	599230.0	608927.0	617383.0	626299.0	636532.0	645670.0	654395.0	655649.0	662338.0	668949.0	674651.0	680149.0	687485.0	691456.0	694069.0	699696.0	702964.0	706190.0	710775.0	704119.0	708516.0	716517.0	719090.0	719550.0	718760.0	721747.0	718793.0	727486.0	732623.0	729246.0	736198.0	744898.0	746074.0	746970.0	749125.0	748357.0	751424.0	748131.0	756757.0	753276.0	765954.0	761347.0	768505.0	772246.0	767538.0	763313.0	769183.0	767063.0	767038.0	761700.0	762377.0	759165.0	755555.0	748709.0	742707.0	736353.0	729128.0	724350.0	721283.0	710845.0	694208.0	684317.0	666847.0	661156.0	641666.0	628239.0	600727.0	575970.0	545355.0	505781.0	462063.0	417617.0	367685.0	308693.0	244481.0	177679.0	108866.0	52972.0
wholeblood_18B	22015.0	53380.0	103439.0	159623.0	209413.0	255516.0	298088.0	332381.0	370492.0	397058.0	427247.0	442960.0	470045.0	486046.0	503986.0	521274.0	534645.0	554814.0	568491.0	580891.0	595748.0	606762.0	615879.0	625435.0	634549.0	643723.0	654242.0	663564.0	673506.0	676229.0	684358.0	691438.0	696501.0	702174.0	710799.0	714961.0	715285.0	721314.0	723554.0	726950.0	731986.0	724499.0	729158.0	737810.0	739999.0	737960.0	737561.0	739063.0	737132.0	743860.0	748783.0	746944.0	754196.0	762399.0	763741.0	764342.0	766602.0	765218.0	768439.0	765074.0	773625.0	772551.0	783998.0	778682.0	784740.0	788588.0	784361.0	780519.0	787979.0	786423.0	787596.0	782119.0	784191.0	781341.0	778007.0	769498.0	762992.0	755083.0	747311.0	740677.0	738633.0	727639.0	709427.0	699239.0	682579.0	677064.0	657410.0	643017.0	614594.0	590361.0	558734.0	519197.0	475921.0	430752.0	378736.0	320080.0	255014.0	186522.0	114967.0	54860.0
wholeblood_19B	11238.0	24205.0	47593.0	77383.0	103010.0	129930.0	155019.0	175753.0	196966.0	213319.0	231231.0	237619.0	257794.0	269764.0	282943.0	292430.0	303591.0	317270.0	328093.0	338415.0	350605.0	360817.0	369467.0	379963.0	387561.0	394979.0	405421.0	413757.0	421294.0	425218.0	433073.0	438817.0	444414.0	450372.0	457830.0	463433.0	467242.0	475471.0	480980.0	486687.0	493144.0	489328.0	497371.0	504688.0	509476.0	511328.0	514216.0	517325.0	517556.0	531619.0	538060.0	538205.0	546589.0	556465.0	561248.0	566381.0	573935.0	575050.0	582958.0	583816.0	598635.0	599677.0	614806.0	617291.0	628007.0	636614.0	638967.0	639409.0	650726.0	656163.0	662606.0	664851.0	673047.0	676188.0	680846.0	681882.0	684361.0	687588.0	690060.0	693121.0	698286.0	697025.0	692297.0	694222.0	689519.0	696048.0	686765.0	685422.0	670956.0	658530.0	638054.0	610462.0	575671.0	535732.0	486469.0	423479.0	347603.0	261062.0	163935.0	72441.0
wholeblood_20B	21390.0	50294.0	96650.0	149005.0	194078.0	237818.0	277214.0	310228.0	344031.0	368288.0	394632.0	408282.0	433622.0	449336.0	467128.0	483626.0	497626.0	516995.0	531475.0	543277.0	558007.0	569153.0	578388.0	589746.0	599143.0	608046.0	618373.0	626796.0	635448.0	638158.0	644533.0	650421.0	656075.0	662111.0	669584.0	672364.0	674064.0	679440.0	683397.0	686064.0	691546.0	685813.0	690154.0	697609.0	699484.0	698815.0	699631.0	702356.0	700987.0	710526.0	714338.0	713110.0	720376.0	729027.0	731576.0	731902.0	734733.0	733843.0	737174.0	734936.0	743529.0	742061.0	753425.0	748463.0	757958.0	762323.0	759707.0	756851.0	763745.0	763028.0	763383.0	756894.0	759253.0	757323.0	755615.0	748737.0	744860.0	739663.0	733861.0	728857.0	725363.0	714964.0	700776.0	690535.0	672943.0	667145.0	647166.0	634735.0	608187.0	585387.0	555641.0	517480.0	475767.0	432160.0	382436.0	324242.0	261395.0	193041.0	120709.0	58701.0
